X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,lat,long
21439.9113,31253.6323,16171,B06,YUSOF ISHAK HSE,1.210169234,103.8625529
34392.0792,40814.6513,67469,B01A,BEF SENGKANG EAST AVE,1.327301572,103.9484652
31381.0554,35313.4853,61101,NIL,BLK 120,1.300072772,103.8990335
31152.5452,31688.0846,1239,B01,SULTAN PLAZA,1.298006848,103.8664577
20134.1995,31917.3757,17269,B01,BLK 730,1.198360759,103.8685166
24595.3704,46820.8319,47599,NIL,BLK 683A,1.238700842,104.002428
22723.57089,33349.84803,11291,B17,COLD STORAGE JELITA,1.221777933,103.8813879
25112.1099,30368.68192,11531,B12,OPP LEA HIN HARDWARE FTY,1.243379397,103.8546018
21465.51042,45974.12399,46529,B05,OPP MARSILING STN,1.210396064,103.9948185
44529.7299,36038.3846,95151,B01,AIRPORT POLICE STN,1.418984424,103.9055506
34541.0427,34361.087,71169,B01,AZTECH BLDG,1.328650777,103.8904765
14028.59344,37148.0698,27471,B02,CORPORATION PR SCH,1.143142797,103.9155133
18483.5118,38574.9236,43831,B02A,BLK 334,1.183431098,103.9283348
42422.6075,36560.4573,96061,B13,OPP MERA TERR P/G,1.399928233,103.9102413
28104.3505,31609.2582,9011,B01,OPP NGEE ANN CITY,1.270440058,103.865749
39716.1054,40516.2934,77259,B20,OPP BLK 713,1.375450202,103.9457865
21890.85257,46852.77675,46189,B03,BLK 12,1.21424221,104.0027135
24929.1433,30530.3401,11541,B01,BLK 175,1.241724699,103.8560543
33199.6369,41543.5668,67479,B01,BEF FERNVALE LINK,1.316517254,103.9550143
41067.633,34619.6856,85101,B01,AFT BEDOK RD,1.387674847,103.8928015
32846.64585,40205.35822,64129,B20,BEF BLK 965,1.313325495,103.9429897
25683.6372,30086.0898,10419,B02,BLK 52,1.24854811,103.8520627
42075.227,39495.9224,78231,B01,OPP BLK 482,1.396785634,103.9366186
33458.7718,39187.2079,63389,B14,OPP XINMIN PR SCH,1.318861725,103.9338414
32335.997,31063.5841,90021,B06,PEBBLE BAY,1.308709636,103.8608464
13576.3115,32883.6548,22069,B06,COOLING SYS PTE LTD,1.139053361,103.8771978
13228.5924,44206.3773,32071,B23,AFT TRACK 13,1.135905352,103.9789312
21045.1014,40242.0791,44331,B01,BLK 239,1.206596631,103.9433152
41603.76401,35413.10901,96081,B05,,1.392523229,103.8999312
24568.7377,30391.8459,11561,B05,BLK 166,1.238465326,103.8548099
40554.0431,37318.376,76141,B09,TAMPINES STN/INT,1.383029391,103.9170512
30951.5803,38079.6104,66191,B03,S'GOON GDN SCH,1.296187981,103.9238882
12476.8986,32211.5971,23389,B02A,ASIA CEMENT PTE LTD,1.129110733,103.8711593
30329.4549,39373.9206,54411,B02,BLK 527,1.290561262,103.9355179
14993.305,36905.6135,28531,B09,BLK 536,1.151867372,103.9133351
41642.8072,36513.8965,96139,B01,BLK 148,1.39287602,103.9098226
11485.3002,34457.9814,23151,B16,CONTAINERS PRINTERS,1.120142724,103.8913426
22003.6972,35796.0165,42089,B02,OPP BT TIMAH PLAZA,1.215267164,103.903367
7028.885699,35124.5075,25099,B02,OPTO-PHARM,1.079840321,103.8973304
22831.749,47133.7638,46261,B09,BLK 808,1.222751152,104.0052387
26353.1856,29283.4814,10339,B05,AFT BT MERAH CTRL,1.254603314,103.844851
