school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Riverside Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,3 Woodlands Street 81,738524,1.4411015710001,103.788308236
"School of Science and Technology, Singapore",secondary_school,Specialised Independent School,Co-Ed School,Clementi,1 Technology Drive,138572,1.3129281060001,103.774011529
"School of the Arts, Singapore",secondary_school,Specialised Independent School,Co-Ed School,Central,1 Zubir Said Drive,227968,1.2993648040001,103.848687419
Sembawang Secondary School,secondary_school,Government School,Co-Ed School,Sembawang,30 Sembawang Crescent,757704,1.4453150210001,103.816843258
Seng Kang Secondary School,secondary_school,Government School,Co-Ed School,Sengkang,10 Compassvale Lane,545090,1.386596831,103.898365037
Serangoon Garden Secondary School,secondary_school,Government School,Co-Ed School,Serangoon,21 Serangoon North Avenue 1,555889,1.3693257050001,103.869270302
Serangoon Secondary School,secondary_school,Government School,Co-Ed School,Hougang,11 Upper Serangoon View,534237,1.3746553880001,103.902138741
Singapore Chinese Girls&#8217; School,secondary_school,Independent School,Girls' School,Novena,190 Dunearn Road,309437,1.3210450820001,103.82819212
Singapore Sports School,secondary_school,Specialised Independent School,Co-Ed School,Woodlands,1 Champions Way,737913,1.4264114060001,103.789444794
Spectra Secondary School,secondary_school,Specialised School,Co-Ed School,Woodlands,1 Woodlands Drive 64,737758,1.4370375080001,103.804100467
Springfield Secondary School,secondary_school,Government School,Co-Ed School,Tampines,30 Tampines Avenue 8,529593,1.3495730350001,103.930354461
St. Andrew&#8217;s Secondary School,secondary_school,Government-Aided School,Boys' School,Toa Payoh,15 Francis Thomas Drive,359342,1.330693609,103.866249138
St. Anthony&#8217;s Canossian Secondary School,secondary_school,Government-Aided School,Girls' School,Bedok,1600 Bedok North Avenue 4,469700,1.334663135,103.941977167
St. Gabriel&#8217;s Secondary School,secondary_school,Government-Aided School,Boys' School,Serangoon,24 Serangoon Avenue 1,556140,1.346382857,103.875808419
St. Hilda&#8217;s Secondary School,secondary_school,Government-Aided School,Co-Ed School,Tampines,2 Tampines Street 82,528986,1.3497392240001,103.937608032
St. Joseph&#8217;s Institution (Secondary),secondary_school,Independent School,Co-Ed School,Novena,38 Malcolm Road,308274,1.323653135,103.828498975
St. Margaret&#8217;s Secondary School,secondary_school,Government-Aided School,Girls' School,Bukit Timah,111 Farrer Road,259240,1.3200682140001,103.80995114
St. Patrick&#8217;s School,secondary_school,Government-Aided School,Boys' School,Bedok,490 East Coast Road,429058,1.3078834190001,103.917638194
Swiss Cottage Secondary School,secondary_school,Government School,Co-Ed School,Bukit Batok,3 Bukit Batok Street 34,659322,1.3647174270001,103.750396137
Tampines Secondary School,secondary_school,Government School,Co-Ed School,Tampines,252 Tampines St 12,529427,1.349260948,103.94426371
Tanglin Secondary School,secondary_school,Government School,Co-Ed School,Clementi,301 West Coast Road,127391,1.309701692,103.758158358
Tanjong Katong Girls&#8217; School,secondary_school,Government School,Girls' School,Marine Parade,20 Dunman Lane,439272,1.3220391200001,103.927030802
Tanjong Katong Secondary School,secondary_school,Government School,Co-Ed School,Marine Parade,130 Haig Road,438796,1.308735158,103.897225196
Teck Whye Secondary School,secondary_school,Government School,Co-Ed School,Choa Chu Kang,31 Teck Whye Crescent,688848,1.383089179,103.755330021
Temasek Junior College (Secondary),secondary_school,Government School,Co-Ed School,Bedok,22 Bedok South Road,469278,1.31849283,103.935567309
Temasek Secondary School,secondary_school,Government School,Co-Ed School,Bedok,600 Upper East Coast Road,465561,1.3159167320001,103.947564112
Unity Secondary School,secondary_school,Government School,Co-Ed School,Choa Chu Kang,20 Choa Chu Kang Street 62,689143,1.400028933,103.746025844
Victoria School,secondary_school,Government School,Boys' School,Bedok,2 Siglap Link,448880,1.308713025,103.927980967
West Spring Secondary School,secondary_school,Government School,Co-Ed School,Bukit Panjang,61 Senja Road,677737,1.387822838,103.760128827
Westwood Secondary School,secondary_school,Government School,Co-Ed School,Jurong West,11 Jurong West Street 25,648350,1.3537369850001,103.701772102
Whitley Secondary School,secondary_school,Government School,Co-Ed School,Bishan,30 Bishan Street 24,579747,1.3550520850001,103.842552378
Woodgrove Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,3 Woodlands Avenue 6,738990,1.428318281,103.796047585
Woodlands Ring Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,10 Woodlands Ring Road,738239,1.436488947,103.80014847
Woodlands Secondary School,secondary_school,Government School,Co-Ed School,Woodlands,11 Marsiling Road,739111,1.439125281,103.77458641
Xinmin Secondary School,secondary_school,Government School,Co-Ed School,Hougang,11 Hougang Avenue 8,538789,1.3725588470001,103.883051614
Yio Chu Kang Secondary School,secondary_school,Government School,Co-Ed School,Ang Mo Kio,3063 Ang Mo Kio Avenue 5,569868,1.3779759770001,103.842136964
Yishun Secondary School,secondary_school,Government School,Co-Ed School,Yishun,4 Yishun Street 71,768516,1.428133243,103.828764317
Yishun Town Secondary School,secondary_school,Government School,Co-Ed School,Yishun,6 Yishun Street 21,768610,1.432321567,103.838094226
Yuan Ching Secondary School,secondary_school,Government School,Co-Ed School,Jurong West,103 Yuan Ching Road,618654,1.3420063580001,103.720898704
Yuhua Secondary School,secondary_school,Government School,Co-Ed School,Jurong West,35 Jurong West Street 41,649406,1.3471862690001,103.722687236
Yusof Ishak Secondary School,secondary_school,Government School,Co-Ed School,Bukit Batok,11 Bukit Batok Street 25,658712,1.3423392140001,103.760032628
Yuying Secondary School,secondary_school,Government-Aided School,Co-Ed School,Hougang,47 Hougang Avenue 1,538884,1.3571359530001,103.890194755
Zhenghua Secondary School,secondary_school,Government School,Co-Ed School,Bukit Panjang,91 Senja Road,677741,1.3883687040001,103.765521558
Zhonghua Secondary School,secondary_school,Government School,Co-Ed School,Serangoon,13 Serangoon Avenue 3,556123,1.348407208,103.869430481
