school_name,school_category,school_type,school_nature,school_area,school_address,school_postal_code,lat,long
Fern Green Primary School,primary_school,Government School,Co-Ed School,Sengkang,70 Fernvale Link,797538,1.39726966050481,103.880330305684
Fernvale Primary School,primary_school,Government School,Co-Ed School,Sengkang,1 Fernvale Lane,797701,1.39030227963798,103.874445458032
First Toa Payoh Primary School,primary_school,Government School,Co-Ed School,Toa Payoh,7 Lorong 8 Toa Payoh,319252,1.34032299527313,103.85552990727
Frontier Primary School,primary_school,Government School,Co-Ed School,Jurong West,20 Jurong West Street 61,648200,1.33641298743236,103.69970173931
Fuchun Primary School,primary_school,Government School,Co-Ed School,Woodlands,23 Woodlands Avenue 1,739063,1.43047990810127,103.778192944298
Fuhua Primary School,primary_school,Government School,Co-Ed School,Jurong East,65 Jurong East Street 13,609647,1.33650394789627,103.736103745748
Gan Eng Seng Primary School,primary_school,Government School,Co-Ed School,Bukit Merah,100 Redhill Close,158901,1.28559516494963,103.815547410064
Geylang Methodist School (Primary),primary_school,Government-Aided School,Co-Ed School,Geylang,4 Geylang East Central,389706,1.31759126757286,103.883845744916
Gongshang Primary School,primary_school,Government School,Co-Ed School,Tampines,1 Tampines Street 42,529176,1.35723721033471,103.949116145623
Greendale Primary School,primary_school,Government School,Co-Ed School,Punggol,50 Edgedale Plains,828848,1.39648761034483,103.912341048919
Greenridge Primary School,primary_school,Government School,Co-Ed School,Bukit Panjang,11 Jelapang Road,677744,1.38588921936923,103.767794469258
Greenwood Primary School,primary_school,Government School,Co-Ed School,Woodlands,11 Woodlands Dr 62,737942,1.43989958331785,103.804725587384
Guangyang Primary School,primary_school,Government School,Co-Ed School,Bishan,6 Bishan Street 12,579806,1.34569011530241,103.849453239895
Haig Girls&#8217; School,primary_school,Government School,Girls' School,Geylang,51 Koon Seng Road,427072,1.31194344271385,103.902902557195
Henry Park Primary School,primary_school,Government School,Co-Ed School,Bukit Timah,1 Holland Grove Road,278790,1.31667646178349,103.784296227747
Holy Innocents&#8217; Primary School,primary_school,Government-Aided School,Co-Ed School,Hougang,5 Lorong Low Koon,536451,1.3669383087735,103.894114899795
Hong Wen School,primary_school,Government-Aided School,Co-Ed School,Kallang,30 Towner Road,327829,1.32175999964555,103.857628468881
Horizon Primary School,primary_school,Government School,Co-Ed School,Punggol,61 Edgedale Plains,828819,1.39955003449202,103.913404855665
Hougang Primary School,primary_school,Government School,Co-Ed School,Hougang,1 Hougang St 93,534238,1.37738249360778,103.880807295096
Huamin Primary School,primary_school,Government School,Co-Ed School,Yishun,21 Yishun Avenue 11,768857,1.42731880981381,103.844863443
Innova Primary School,primary_school,Government School,Co-Ed School,Woodlands,80 Woodlands Drive 17,737888,1.42896700684853,103.790607539185
Jiemin Primary School,primary_school,Government School,Co-Ed School,Yishun,2  Yishun Street 71,768515,1.42768620385279,103.830427933344
Jing Shan Primary School,primary_school,Government School,Co-Ed School,Ang Mo Kio,5 Ang Mo Kio St 52,569228,1.372232909835,103.852132214306
Junyuan Primary School,primary_school,Government School,Co-Ed School,Tampines,2 Tampines Street 91,528906,1.34787051230886,103.939220537934
Jurong Primary School,primary_school,Government School,Co-Ed School,Jurong East,320 Jurong East Street 32,609476,1.3486002031607,103.733156560251
Jurong West Primary School,primary_school,Government School,Co-Ed School,Jurong West,30 Jurong West St 61,648368,1.33917519796107,103.698803732244
Juying Primary School,primary_school,Government School,Co-Ed School,Jurong West,31 Jurong West Street 91,649037,1.33902264667596,103.687769624799
Keming Primary School,primary_school,Government School,Co-Ed School,Bukit Batok,90 Bukit Batok East Avenue 6,659762,1.34552849960877,103.756449399351
Kheng Cheng School,primary_school,Government-Aided School,Co-Ed School,Toa Payoh,15 Lorong 3 Toa Payoh,319580,1.33733819356392,103.847148501824
Kong Hwa School,primary_school,Government-Aided School,Co-Ed School,Geylang,350 Guillemard Road,399772,1.31099674009195,103.888352029067
Kranji Primary School,primary_school,Government School,Co-Ed School,Choa Chu Kang,11 Choa Chu Kang Street 54,689189,1.39356050497107,103.747362720939
Kuo Chuan Presbyterian Primary School,primary_school,Government-Aided School,Co-Ed School,Bishan,8 Bishan Street 13,579793,1.34939813669538,103.855018233311
Lakeside Primary School,primary_school,Government School,Co-Ed School,Jurong West,161 Corporation Walk,618310,1.33820397676916,103.718089546936
Lianhua Primary School,primary_school,Government School,Co-Ed School,Bukit Batok,2 Bukit Batok Street 52,659243,1.35424191127296,103.754165828711
Maha Bodhi School,primary_school,Government-Aided School,Co-Ed School,Geylang,10 Ubi Avenue 1,408931,1.32847086658388,103.901298737314
Maris Stella High School (Primary Section),primary_school,Government-Aided School,Boys' School,Toa Payoh,25 Mount Vernon Road,368051,,
Marsiling Primary School,primary_school,Government School,Co-Ed School,Woodlands,31 Woodlands Centre Road,738927,1.4338390403706,103.773643013846
Marymount Convent School,primary_school,Government-Aided School,Girls' School,Toa Payoh,20 Marymount Road,297754,1.34036676987376,103.840021064426
Mayflower Primary School,primary_school,Government School,Co-Ed School,Ang Mo Kio,200 Ang Mo Kio Avenue 5,569878,1.37614621670478,103.835805246743
Mee Toh School,primary_school,Government-Aided School,Co-Ed School,Punggol,21 Edgedale Plains,828867,1.39461845385922,103.908589494228
Meridian Primary School,primary_school,Government School,Co-Ed School,Pasir Ris,20 Pasir Ris St 71,518798,1.37552831658488,103.934889078246
Methodist Girls&#8217; School (Primary),primary_school,Government-Aided School,Girls' School,Bukit Timah,11 Blackmore Drive,599986,1.33294800935715,103.783393009829
Montfort Junior School,primary_school,Government-Aided School,Boys' School,Hougang,52 Hougang Avenue 8,538786,1.3738244407598,103.889307782925
Nan Chiau Primary School,primary_school,Government-Aided School,Co-Ed School,Sengkang,50 Anchorvale Link,545080,1.39221149906595,103.891180928186
Nan Hua Primary School,primary_school,Government-Aided School,Co-Ed School,Clementi,30 Jalan Lempeng,128806,1.30611628454706,103.765118624077
Nanyang Primary School,primary_school,Government-Aided School,Co-Ed School,Bukit Timah,52 King's Road,268097,1.32084749904534,103.807750155296
Naval Base Primary School,primary_school,Government School,Co-Ed School,Yishun,7 Yishun Ave 4,769028,1.41630663159389,103.838794077233
New Town Primary School,primary_school,Government School,Co-Ed School,Queenstown,300 Tanglin Halt Road,148812,1.29964181064172,103.800102318609
Ngee Ann Primary School,primary_school,Government-Aided School,Co-Ed School,Marine Parade,344 Marine Terrace,449149,1.305525059105,103.917463017497
North Spring Primary School,primary_school,Government School,Co-Ed School,Sengkang,1 Rivervale Street,545088,1.38706146494863,103.903202683028
North View Primary School,primary_school,Government School,Co-Ed School,Yishun,210 Yishun Avenue 6,768960,1.42752327193729,103.848190787869
North Vista Primary School,primary_school,Government School,Co-Ed School,Sengkang,20 Compassvale Link,544974,1.38282243016301,103.895961877928
Northland Primary School,primary_school,Government School,Co-Ed School,Yishun,15 Yishun Avenue 4,769026,1.42096989918956,103.840928424929
Northoaks Primary School,primary_school,Government School,Co-Ed School,Sembawang,61 Sembawang Drive,757622,1.45660782030105,103.814196981329
Northshore Primary School,primary_school,Government School,Co-Ed School,Punggol,30 Northshore Drive,828671,,
Oasis Primary School,primary_school,Government School,Co-Ed School,Punggol,71 Edgefield Plains,828716,1.40462413200795,103.911120600638
Opera Estate Primary School,primary_school,Government School,Co-Ed School,Bedok,48 Fidelio Street,458436,1.3193191443626,103.923788259248
Palm View Primary School,primary_school,Government School,Co-Ed School,Sengkang,150 Compassvale Bow,544822,1.38376923022127,103.891354675017
Park View Primary School,primary_school,Government School,Co-Ed School,Pasir Ris,60 Pasir Ris Drive 1,519524,1.37738069854251,103.939541695654
Pasir Ris Primary School,primary_school,Government School,Co-Ed School,Pasir Ris,5 Pasir Ris Street 21,518968,1.37241870245533,103.962807212116
Paya Lebar Methodist Girls&#8217; School (Primary),primary_school,Government-Aided School,Girls' School,Hougang,298 Lorong Ah Soo,536741,1.34947276268398,103.884971343143
Pei Chun Public School,primary_school,Government-Aided School,Co-Ed School,Toa Payoh,16 Lorong 7 Toa Payoh,319320,1.33274088113984,103.858628716978
Pei Hwa Presbyterian Primary School,primary_school,Government-Aided School,Co-Ed School,Bukit Timah,7 Pei Wah Avenue,597610,1.33805507824253,103.776108247761
Pei Tong Primary School,primary_school,Government School,Co-Ed School,Clementi,15 Clementi Avenue 5,129857,1.31619774918991,103.767599739431
Peiying Primary School,primary_school,Government School,Co-Ed School,Yishun,651 Yishun Ring Road,768687,1.41723339695906,103.830417090698
Pioneer Primary School,primary_school,Government School,Co-Ed School,Jurong West,23 Jurong West Street 81,649076,1.34883617453429,103.695003812477
Poi Ching School,primary_school,Government-Aided School,Co-Ed School,Tampines,21 Tampines Street 71,529067,1.35765122315691,103.935246477199
Princess Elizabeth Primary School,primary_school,Government School,Co-Ed School,Bukit Batok,30 Bukit Batok West Avenue 3,659163,1.34920351265302,103.74101964471
