name,full_address,status,lat,long
Leisure Park Kallang,Leisure Park Kallang Singapore,True,1.302337453,103.87644920000001
East Village,East Village Singapore,True,1.331775815,103.9462012
Elias Mall,Elias Mall Singapore,True,1.377909454,103.94228149999999
Loyang Point,Loyang Point Singapore,True,1.36645364,103.9645985
The Flow,The Flow Singapore,True,1.30455858,103.9042117
Jewel Changi Airport,Jewel Changi Airport Singapore,True,1.3600628940000001,103.9899892
888 Plaza,888 Plaza Singapore,True,1.437118561,103.7953161
Admiralty Place,Admiralty Place Singapore,True,1.4393861540000001,103.8017065
AMK Hub,AMK Hub Singapore,True,1.368778389,103.8402739
Canberra Plaza,Canberra Plaza Singapore,True,1.443245232,103.8305235
Causeway Point,Causeway Point Singapore,True,1.4360886769999999,103.78601
Broadway Plaza,Broadway Plaza Singapore,True,1.371936464,103.8459738
Djitsun Mall,Djitsun Mall Singapore,True,1.326053199,103.92960459999999
Jubilee Square,Jubilee Square Singapore,False,,
Junction 9,Junction 9 Singapore,True,1.433031982,103.8416008
Marsiling Mall,Marsiling Mall Singapore,True,1.433512535,103.7797469
Northpoint City,Northpoint City Singapore,True,1.429698486,103.8357765
Sembawang Shopping Centre,Sembawang Shopping Centre Singapore,True,1.4418530790000001,103.8249704
Sun Plaza,Sun Plaza Singapore,True,1.3004710720000001,103.8506873
Wisteria Mall,Wisteria Mall Singapore,True,1.417999263,103.8412365
Woodlands Mart,Woodlands Mart Singapore,True,1.44564787,103.7981623
Waterway Point,Waterway Point Singapore,True,1.4064261630000001,103.90223809999999
Compass One,Compass One Singapore,True,1.392094156,103.89498
Hougang Mall,Hougang Mall Singapore,True,1.3724367830000002,103.89372390000001
Heartland Mall,Heartland Mall Singapore,True,1.359544509,103.8851691
NEX,NEX Singapore,True,1.333589819,103.7865978
Greenwich V,Greenwich V Singapore,True,1.3876033019999998,103.86942359999999
Hougang 1,Hougang 1 Singapore,True,1.375609857,103.8794075
Hougang Green Shopping Mall,Hougang Green Shopping Mall Singapore,True,1.379317835,103.88784709999999
myVillage @ Serangoon,myVillage @ Serangoon Singapore,False,,
Oasis Terraces,Oasis Terraces Singapore,True,1.402634601,103.91327059999999
Punggol Plaza,Punggol Plaza Singapore,True,1.394184094,103.9129764
Rivervale Mall,Rivervale Mall Singapore,True,1.3922173269999998,103.90447309999999
Rivervale Plaza,Rivervale Plaza Singapore,True,1.385371516,103.90184959999999
The Seletar Mall,The Seletar Mall Singapore,True,1.391393061,103.87606770000001
Buangkok Square,Buangkok Square Singapore,True,1.384334266,103.88162309999998
The Midtown,The Midtown Singapore,True,1.37047941,103.8951285
Upper Serangoon Shopping Centre,Upper Serangoon Shopping Centre Singapore,True,1.353480883,103.8788284
Beauty World Centre,Beauty World Centre Singapore,True,1.342412642,103.7765394
Beauty World Plaza,Beauty World Plaza Singapore,True,1.341787998,103.77630409999999
Bukit Panjang Plaza,Bukit Panjang Plaza Singapore,True,1.380522395,103.76405140000001
Bukit Timah Plaza,Bukit Timah Plaza Singapore,True,1.338631653,103.77858540000001
Fajar Shopping Centre,Fajar Shopping Centre Singapore,True,1.384005825,103.77102959999999
Greenridge Shopping Centre,Greenridge Shopping Centre Singapore,True,1.385295565,103.7661705
Hillion Mall,Hillion Mall Singapore,True,1.378498681,103.76302290000001
HillV2,HillV2 Singapore,True,1.363550958,103.76423609999999
Junction 10,Junction 10 Singapore,True,1.380605125,103.7600416
Limbang Shopping Centre,Limbang Shopping Centre Singapore,True,1.392220234,103.7436114
Lot One,Lot One Singapore,True,1.385069923,103.7452389
