lat,long,Centre Name,Address,Postal Code
1.319187905,103.908056,ACES CHAMPION ENTERPRISE (SINGAPORE LLP,"10, LORONG SARINA, S 416672",416672
1.43011253,103.7750811,ACTIVE LEARNERS CHILD CARE PRIVATE LIMITED,"306A, WOODLANDS STREET 31, #03 - 03, S 731306",731306
1.395863455,103.7490462,AGAPE CHILD CARE(CCK PTE. LTD.,"789, CHOA CHU KANG NORTH 6, #01 - 224, S 680789",680789
1.352198918,103.7043799,AGAPE CHILD CARE(JW PTE. LTD.,"274D, JURONG WEST AVENUE 3, #01 - 99, S 644274",644274
1.392908487,103.8906755,AGAPE CHILD CARE(SK PTE. LTD.,"325B, SENGKANG EAST WAY, #01 - 655, S 542325",542325
1.370438271,103.7653063,AGAPE KIDS CAMPUS LLP,"1, CASHEW TERRACE, CASHEW ESTATE, S 679539",679539
1.312640139,103.8724919,AGAPE LITTLE UNI (KALLANG PTE. LTD.,"5, UPPER BOON KENG ROAD, #02 - 20, MULTI STOREY CAR PARK, S 380005",380005
1.358557469,103.8335582,AGAPE LITTLE UNI @ CENTRAL PTE. LTD.,"22, SIN MING LANE, #01 - 71/73, MIDVIEW CITY, S 573969",573969
1.280966223,103.8493925,AGAPE LITTLE UNI. @ CECIL PTE. LTD.,"101, CECIL STREET, #01 - 01, TONG ENG BUILDING, S 069533",69533
1.311921058,103.7660169,AGAPE LITTLE UNI. @ CLEMENTI PTE. LTD.,"453, CLEMENTI AVENUE 3, #01 - 01, CLEMENTI AREA OFFICE, S 120453",120453
1.396991933,103.8959953,AGAPE LITTLE UNI. @ COMPASSVALE PTE. LTD.,"293B, COMPASSVALE CRESCENT, #01 - 53, COMPASSVALE BOARDWALK, S 542293",542293
1.443185232,103.8157688,AGAPE LITTLE UNI. @ GAMBAS PTE LTD,"2, GAMBAS CRESCENT, #01 - 15-17, NORDCOM TWO, S 757044",757044
1.389755521,103.8944824,E-BRIDGE PRE-SCHOOL PTE LTD,"217, COMPASSVALE DRIVE, #01 - 11, MULTI STOREY CAR PARK, S 540217",540217
1.431098069,103.7985076,E-BRIDGE PRE-SCHOOL PTE LTD,"573, WOODLANDS DRIVE 16, #03 - 01, S 730573",730573
1.39157654,103.8806973,E-BRIDGE PRE-SCHOOL PTE LTD,"417A, FERNVALE LINK, #01 - 172, FERNVALE RIVERWALK, S 791417",791417
1.402728121,103.8931013,E-BRIDGE PRE-SCHOOL PTE LTD,"226A, SUMANG LANE, #02 - 206, THE VERANDAH @ MATILDA, S 821226",821226
1.376672099,103.9019548,AGAPE LITTLE UNI. @ UPPER SERANGOON PTE LTD,"473D, UPPER SERANGOON CRESCENT, #01 - 353, HOUGANG PARKEDGE, S 538473",538473
1.303055506,103.7964832,AGAPE LITTLE UNI. PTE. LTD.,"401, Commonwealth Drive, #02 - 01, Haw Par Technocentre, S 149598",149598
1.278277198,103.8448465,Akarui Early Years Learning Centre Pte. Ltd.,24 Peck Seah Street #01 - 01 Nehsons Building Singapore 079314,79314
1.355017787,103.9624345,AL-NASRY CHILDCARE PTE. LTD.,Blk 354 Tampines St 33 #01-530 Singapore 520354,520354
1.289787119,103.8144483,ALORA CHILDCARE (LENG KEE PTE LTD,"400, LENGKOK BAHRU, LENG KEE COMMUNITY CENTRE, S 159049",159049
1.314120698,103.940617,ALPHABET PLAYHOUSE @ EAST COAST PTE LTD,"440A, UPPER EAST COAST ROAD, S 466497",466497
1.298148905,103.8393813,ALPHABET PLAYHOUSE CHILD CARE AND LEARNING CENTRE PTE LTD,"14/16, DUBLIN ROAD, S 239803",239803
1.400470515,103.7463435,AMAR KIDZ @ CHOA CHU KANG PTE. LTD.,"617, CHOA CHU KANG NORTH 7, #01 - 437, S 680617",680617
1.373639484,103.8961877,AMAR KIDZ @ HOUGANG CENTRAL PTE. LTD.,"406, HOUGANG AVENUE 10, #01 - 1124, S 530406",530406
1.389329464,103.7408722,AMAZING STAR MONTESSORI HOUSE (CCK,"511, CHOA CHU KANG STREET 51, #01 - 243, S 680511",680511
1.385295565,103.7661705,AMAZING STAR MONTESSORI HOUSE (GREENRIDGE,"524A, JELAPANG ROAD, #03 - 01, GREENRIDGE SHOPPING CENTRE, S 671524",671524
1.393458295,103.9005153,AMAZING STAR MONTESSORI HOUSE (SK2,"46, JALAN MERDU, S 548674",548674
1.370673526,103.8702639,AMAZING STAR MONTESSORI HOUSE (SN,"103, SERANGOON NORTH AVENUE 1, #01 - 773, S 550103",550103
1.32987219,103.9019297,AMAZING STAR MONTESSORI HOUSE (UBI,"306, UBI AVENUE 1, #02 - 187, S 400306",400306
1.359835041,103.8898954,AMERICA MONTESSORI INTERNATIONAL PRESCHOOL PTE. LTD.,"17J, JALAN HOCK CHYE, S 538202",538202
1.313951277,103.8852356,AMERICARE CHILD DEVELOPMENT CENTRE,"541, Geylang Road, #02 - 01, S 389496",389496
1.344618893,103.749789,AMITY JUNIORS PTE LTD,"1, BUKIT BATOK STREET 22, #02 - 01/02, S 659592",659592
1.417493669,103.835749,ANGEL CARE CENTRE PTE LTD,"626, YISHUN STREET 61, #01 - 103, S 760626",760626
1.322384488,103.9500041,APOLLO INTERNATIONAL PRESCHOOL PRIVATE LIMITED,"44, LIMAU GARDEN, BEDOK PARK, S 467903",467903
1.428035845,103.8360921,APPLE TREE PLAYHOUSE PTE LTD,"1, NORTHPOINT DRIVE, #02 - 201, NORTHPOINT CITY, S 768019",768019
1.347336796,103.7419244,APPLELAND MONTESSORI CHILD CARE CENTRE,"165, BUKIT BATOK WEST AVENUE 8, #01 - 286, S 650165",650165
1.280546796,103.8115715,APPLELAND PLAYHOUSE,"104C, DEPOT ROAD, #01 - 03, S 103104",103104
1.310040986,103.9319883,APRICOT ACADEMY (LAGUNA PTE. LTD.,"5000G, MARINE PARADE ROAD, #01 - 28/30, LAGUNA PARK, S 449290",449290
1.288407458,103.8113816,ARTS JUNIOR MONTESSORI  LLP,"11, CHANG CHARN ROAD, #02 - 02, SHRIRO HOUSE, S 159640",159640
1.27349381,103.8333561,Arts Kidz Pre-School Pte Ltd,"10 Raeburn Park   #02-33 , S088702",88702
1.354403475,103.9327023,ASPIRATION CHILD CARE CENTRE,"871, TAMPINES STREET 84, #01 - 47, S 520871",520871
1.429720068,103.8331094,AVERBEL CHILD DEVELOPMENT CENTRE PTE LTD,"742, YISHUN AVENUE 5, #01 - 470, S 760742",760742
1.286680265,103.8137663,AWWA LTD.,"20, LENGKOK BAHRU, #02 - 05, S 159053",159053
1.354654618,103.8638611,BABIES BY-THE-PARK PTE. LTD.,"22, LI HWAN VIEW, GOLDEN HILL ESTATE, S 556912",556912
1.386540326,103.8447164,Baby Elk Infant Care Pte Ltd,"3, ANG MO KIO STREET 62, #01 - 36, LINK@AMK, S 569139",569139
1.319730665,103.9520868,BABYPLANET MONTESSORI PTE. LTD.,"22A, KEW DRIVE, S 467961",467961
1.342919082,103.7672211,BAMBINI CHILDCARE LLP,"3 Jalan Kakatua, JURONG PARK, S 598523",598523
